mean_packet_size,std_packet_size,min_packet_size,max_packet_size,total_bytes,mean_iat,std_iat,max_iat,flow_duration,packet_count,large_packet_ratio,burst_density,mean_burst_time,label,group_id
87.4,59.381478593918494,70.0,469.0,8740,0.0008863511711660058,0.001941519206109329,0.010149478912353516,0.08774876594543457,100,0.0,99601.40526682195,0.08774876594543457,signaling,0
84.32,51.337682066879495,70.0,469.0,8432,0.0005413811616223268,0.001370181146275621,0.009287118911743164,0.05359673500061035,100,0.0,157320.08078147293,0.05359673500061035,signaling,0
78.71,7.627968274711163,70.0,88.0,7871,0.0007415805200133661,0.001948979835017601,0.011457443237304688,0.07341647148132324,100,0.0,107208.81339535526,0.07341647148132324,signaling,0
85.24,51.29076330100772,70.0,469.0,8524,0.0006337767899638474,0.0011645037631634418,0.0064678192138671875,0.0627439022064209,100,0.0,135851.67400464465,0.0627439022064209,signaling,0
86.84,51.07714165847576,70.0,469.0,8684,0.0009469552473588424,0.0021834524857814556,0.016976118087768555,0.09374856948852539,100,0.0,92629.75870052278,0.09374856948852539,signaling,0
88.98,59.08569708482756,70.0,469.0,8898,0.0008421064627290976,0.0020340559706743884,0.013227701187133789,0.08336853981018066,100,0.0,106729.62835418484,0.08336853981018066,signaling,0
79.1,7.7323993688893236,70.0,88.0,7910,0.000381363762749566,0.0007137132793998047,0.004626274108886719,0.03775501251220703,100,0.0,209503.05590248943,0.03775501251220703,signaling,0
81.99,33.734402321665634,70.0,409.0,8199,0.00029904914624763256,0.00048291676429322355,0.0032689571380615234,0.029605865478515625,100,0.0,276929.0118182097,0.029605865478515625,signaling,0
82.53,39.58799186622125,70.0,469.0,8253,0.0006464081581192787,0.0009760873062914588,0.004560232162475586,0.0639944076538086,100,0.0,128962.37874826374,0.0639944076538086,signaling,0
82.78,34.57530332477215,70.0,409.0,8278,0.00041842219805476643,0.0008553407617556258,0.005458831787109375,0.041423797607421875,100,0.0,199831.9962465398,0.041423797607421875,signaling,0
83.95,39.59554899227943,70.0,469.0,8395,0.0005595973043730764,0.0010511157212656631,0.006319284439086914,0.05540013313293457,100,0.0,151531.1966608384,0.05540013313293457,signaling,0
87.62,50.96543534592832,70.0,469.0,8762,0.000555809098060685,0.0007913532493170532,0.0037407875061035156,0.05502510070800781,100,0.0,159233.5253136497,0.05502510070800781,signaling,0
78.08,7.488230765674893,70.0,88.0,7808,0.0004891121026241418,0.001197641705810745,0.00913548469543457,0.04842209815979004,100,0.0,161245.36216651395,0.04842209815979004,signaling,0
