Biflow_ID,mean_packet_size,std_packet_size,min_packet_size,max_packet_size,total_bytes,packet_count,duration,mean_iat,std_iat,max_iat,min_iat,byte_rate,packet_rate,label
10.42.0.113_13.67.15.145_443_52281_TCP,619.6,719.7071209874194,54.0,2751.0,24784,40,2.6558163166046143,0.06809785427191319,0.3116460020283973,1.9653284549713135,0.0,9331.967166960725,15.061276899549267,Other/Media
10.42.0.113_13.89.179.10_443_51723_TCP,486.2857142857143,621.2001550652265,54.0,1466.0,10212,21,98.10550260543823,4.905275130271912,21.082464230883524,96.80079531669617,4.76837158203125e-07,104.0920195575442,0.2140552693604023,Other/Media
10.42.0.113_142.251.12.95_443_52303_TCP,490.14285714285717,597.8905207727682,54.0,1618.0,10293,21,9.775085926055908,0.48875429630279543,2.091596703200853,9.60561990737915,0.0,1052.9829635134572,2.1483184915751092,Other/Media
10.42.0.113_142.251.12.95_443_55256_UDP,926.0666666666667,509.71436009679854,80.0,1242.0,13891,15,0.0909566879272461,0.006496906280517578,0.01397543182459266,0.04107093811035156,2.384185791015625e-07,152719.36123872155,164.91184353760158,Other/Media
10.42.0.113_142.251.154.119_443_52095_UDP,581.2222222222222,539.3866429726305,68.0,1294.0,20924,36,0.4068577289581299,0.011624506541660853,0.023335586829954624,0.10798835754394531,1.430511474609375e-06,51428.17029778733,88.48280112408449,Other/Media
10.42.0.113_142.251.154.119_443_52297_TCP,69.33333333333333,4.85340659285368,66.0,78.0,416,6,0.07815837860107422,0.015631675720214844,0.010490154474386058,0.026783466339111328,0.0029096603393554688,5322.457873203748,76.76621932505405,Other/Media
10.42.0.113_142.251.154.119_443_52300_TCP,546.1428571428571,653.4804464385687,54.0,1589.0,7646,14,0.051735877990722656,0.003979682922363281,0.004943465556005625,0.015023469924926758,0.0,147786.26575362866,270.6000157665186,Other/Media
10.42.0.113_142.251.154.119_443_53857_UDP,894.2649572649573,518.9268082897148,68.0,1294.0,104629,117,0.5995955467224121,0.005168927126917346,0.016700691529478517,0.12964582443237305,0.0,174499.00365826956,195.1312105440895,Other/Media
10.42.0.113_142.251.154.119_443_64117_UDP,576.8888888888889,542.9968169426747,68.0,1294.0,20768,36,0.2959012985229492,0.008454322814941406,0.013457646524081027,0.052748680114746094,0.0,70185.32841301773,121.66177883612472,Other/Media
10.42.0.113_142.251.154.119_443_64523_UDP,953.697247706422,486.966749134956,68.0,1294.0,103953,109,0.34929394721984863,0.0032342032149985985,0.01068685605070762,0.07754087448120117,0.0,297608.08402009687,312.05719082845667,Other/Media
